,I_XT,I_TY,Layer,Epochs
420,6.920686902313136,0.6931469493594913,1,105
421,6.514756875293796,0.6194156450121521,2,105
422,3.2203111091056935,0.5593998154031928,3,105
423,1.749381603312284,0.5376923936173734,4,105
424,6.920686902313136,0.6931469493594913,1,106
425,6.516769893406188,0.6205574075552593,2,106
426,3.2424894797818444,0.5590962309274203,3,106
427,1.7589752509299488,0.5378788239371849,4,106
428,6.920686902313136,0.6931469493594913,1,107
429,6.5100029002029185,0.6230219752015201,2,107
430,3.2619663495372535,0.5591949379975568,3,107
431,1.7648541650717775,0.5378788239371859,4,107
432,6.920686902313136,0.6931469493594913,1,108
433,6.507995399721465,0.6197972564548015,2,108
434,3.2815837226213214,0.5649900255140596,3,108
435,1.7752952288087684,0.5395963357593968,4,108
436,6.919011227691643,0.6931469493594913,1,109
437,6.495393838527817,0.6198779775912162,2,109
438,3.2742468078868034,0.5716601921949324,3,109
439,1.7884992122520802,0.5407253194677561,4,109
440,6.919011227691643,0.6931469493594913,1,110
441,6.504896796273616,0.6208507436057437,2,110
442,3.285441207623481,0.5715679764564572,3,110
443,1.8038494751261345,0.5437282134995022,4,110
444,6.919011227691643,0.6931469493594913,1,111
445,6.495901388505055,0.621664304635919,2,111
446,3.3005359974869695,0.5714836406472319,3,111
447,1.8103105303063927,0.5447470026101697,4,111
448,6.919011227691643,0.6931469493594913,1,112
449,6.495888230211235,0.6198646408182124,2,112
450,3.3121555238480966,0.5716396865231933,3,112
451,1.8187333752080999,0.5466155610494382,4,112
452,6.920686902313136,0.6931469493594913,1,113
453,6.496313502374593,0.6171442661858558,2,113
454,3.2980527287092674,0.5716396865231984,3,113
455,1.826554063502598,0.550474242082861,4,113
456,6.920686902313136,0.6931469493594913,1,114
457,6.495602381453173,0.6172301843877085,2,114
458,3.2909877794690843,0.5723717794059765,3,114
459,1.8318838591888083,0.5527628134249039,4,114
460,6.920686902313136,0.6931469493594913,1,115
461,6.491855127944467,0.6177344217135446,2,115
462,3.2954832111813523,0.572971582681243,3,115
463,1.8382468240454122,0.5566661451675575,4,115
464,6.920686902313136,0.6931469493594913,1,116
465,6.4982427052264775,0.6189667175503794,2,116
466,3.312046119659416,0.5737556017325999,3,116
467,1.8385341089347278,0.5622845754968949,4,116
468,6.920686902313136,0.6931469493594913,1,117
469,6.492483014992743,0.621415827264396,2,117
470,3.3093935753055956,0.5705132529075799,3,117
471,1.836826406215445,0.5657019629392611,4,117
472,6.920686902313136,0.6931469493594913,1,118
473,6.491948063436026,0.6214718878826089,2,118
474,3.302727263712243,0.5649556930863306,3,118
475,1.8436229268982343,0.5710041310122607,4,118
476,6.920686902313136,0.6931469493594913,1,119
477,6.492627267462546,0.6215440712490389,2,119
478,3.296075218302349,0.5660607377695065,3,119
479,1.8508352450488184,0.5701290627368276,4,119
480,6.920686902313136,0.6931469493594913,1,120
481,6.489274362143537,0.620470898659701,2,120
482,3.297599930290861,0.5653555299415531,3,120
483,1.854200394233961,0.5630718677418567,4,120
484,6.920686902313136,0.6931469493594913,1,121
485,6.501772402642408,0.6200007593902404,2,121
486,3.304696731501017,0.5657373884560095,3,121
487,1.8618293514311959,0.552118825040449,4,121
488,6.920686902313136,0.6931469493594913,1,122
489,6.50421329829518,0.6180694218100934,2,122
490,3.321565239377378,0.5639906574647404,3,122
491,1.8747406306709478,0.5489235636701465,4,122
492,6.920686902313136,0.6931469493594913,1,123
493,6.50976741802958,0.6184102890728401,2,123
494,3.3248133369255948,0.5663705537419348,3,123
495,1.885951046135174,0.5501610889058809,4,123
496,6.920686902313136,0.6931469493594913,1,124
497,6.502001607338163,0.6190096631305755,2,124
498,3.3626213983589754,0.5632435033420596,3,124
499,1.8903833057701855,0.5460191178244697,4,124
